ParkName,ParkCode,Region,Location,Year,Month,Count
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT BEAR ISLAND,2017,3,979
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT BEAR ISLAND,2017,4,238
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT BEAR ISLAND,2017,5,47
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT BEAR ISLAND,2017,6,153
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT BEAR ISLAND,2017,7,215
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT BEAR ISLAND,2017,8,307
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT BEAR ISLAND,2017,9,0
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT BEAR ISLAND,2017,10,367
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT BEAR ISLAND,2017,11,"1,046"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT BEAR ISLAND,2017,12,"1,083"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT DONA DRIVE,2017,1,"3,074"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT DONA DRIVE,2017,2,"2,113"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT DONA DRIVE,2017,3,"1,843"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT DONA DRIVE,2017,4,"1,053"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT DONA DRIVE,2017,5,755
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT DONA DRIVE,2017,6,681
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT DONA DRIVE,2017,7,818
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT DONA DRIVE,2017,8,719
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT DONA DRIVE,2017,9,703
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT DONA DRIVE,2017,10,749
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT DONA DRIVE,2017,11,"1,512"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT DONA DRIVE,2017,12,"1,632"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT KIRBY STORTER,2017,1,"2,740"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT KIRBY STORTER,2017,2,"2,914"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT KIRBY STORTER,2017,3,"3,553"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT KIRBY STORTER,2017,4,"2,539"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT KIRBY STORTER,2017,5,"1,538"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT KIRBY STORTER,2017,6,"1,115"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT KIRBY STORTER,2017,7,"1,822"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT KIRBY STORTER,2017,8,"2,709"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT KIRBY STORTER,2017,9,"1,147"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT KIRBY STORTER,2017,10,0
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT KIRBY STORTER,2017,11,"2,518"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT KIRBY STORTER,2017,12,"3,118"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MITCHELL'S LANDING,2017,1,683
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MITCHELL'S LANDING,2017,2,624
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MITCHELL'S LANDING,2017,3,605
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MITCHELL'S LANDING,2017,4,0
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MITCHELL'S LANDING,2017,5,0
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MITCHELL'S LANDING,2017,6,0
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MITCHELL'S LANDING,2017,7,0
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MITCHELL'S LANDING,2017,8,175
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MITCHELL'S LANDING,2017,9,0
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MITCHELL'S LANDING,2017,10,0
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MITCHELL'S LANDING,2017,11,0
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MITCHELL'S LANDING,2017,12,0
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MONUMENT LAKE CG,2017,1,"1,626"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MONUMENT LAKE CG,2017,2,"1,989"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MONUMENT LAKE CG,2017,3,"1,771"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MONUMENT LAKE CG,2017,4,588
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MONUMENT LAKE CG,2017,5,412
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MONUMENT LAKE CG,2017,6,349
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MONUMENT LAKE CG,2017,7,421
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MONUMENT LAKE CG,2017,8,367
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MONUMENT LAKE CG,2017,9,668
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MONUMENT LAKE CG,2017,10,655
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MONUMENT LAKE CG,2017,11,"1,182"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT MONUMENT LAKE CG,2017,12,"1,619"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT OASIS PARKING LOT,2017,1,"10,947"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT OASIS PARKING LOT,2017,2,"13,655"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT OASIS PARKING LOT,2017,3,"14,306"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT OASIS PARKING LOT,2017,4,"10,852"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT OASIS PARKING LOT,2017,5,"9,490"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT OASIS PARKING LOT,2017,6,"4,605"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT OASIS PARKING LOT,2017,7,"6,721"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT OASIS PARKING LOT,2017,8,"5,203"
