Region,ParkCode,ParkName,State,GrossAcres
Northeast,SPAR,SPRINGFIELD ARMORY NHS,MA,54.93
Northeast,SACR,ST CROIX ISLAND IHS,ME,6.50
Northeast,SAPA,ST PAUL'S CHURCH NHS,NY,6.13
Northeast,STLI,STATUE OF LIBERTY NM,NY,58.38
Northeast,STLI,STATUE OF LIBERTY NM,NJ,58.38
Northeast,STEA,STEAMTOWN NHS,PA,62.48
Southeast,STRI,STONES RIVER NB,TN,709.46
Northeast,STON,STONEWALL NM,NY,7.70
Intermountain,SUCR,SUNSET CRATER VOLC NM,AZ,"3,040.00"
Northeast,THKO,T KOSCIUSZKO NMEM,PA,0.02
Northeast,THRB,T ROOSEVELT BIRTHPLACE NHS,NY,0.11
Northeast,THRI,T ROOSEVELT INAUG NHS,NY,1.18
Northeast,THIS,T ROOSEVELT ISLAND,DC,88.50
Midwest,THRO,T ROOSEVELT NP,ND,"70,446.89"
Midwest,TAPR,TALLGRASS PRAIRIE NPRE,KS,"10,882.67"
Northeast,EDIS,THOMAS EDISON NHP,NJ,21.25
National Capital,JEFM,THOMAS JEFFERSON MEM,DC,18.36
Northeast,THST,THOMAS STONE NHS,MD,328.25
Intermountain,TICA,TIMPANOGOS CAVE NM,UT,250.00
Southeast,TIMU,TIMUCUAN ECO & H PRES,FL,"46,262.67"
Intermountain,TONT,TONTO NM,AZ,"1,120.00"
Pacific West,,TULE SPRINGS FOSSIL BEDS NM,NV,"22,650.00"
Intermountain,,TUMACACORI NHP,AZ,360.32
Southeast,TUPE,TUPELO NB,MS,1.00
Southeast,TUAI,TUSKEGEE AIRMEN NHS,AL,89.68
Southeast,TUIN,TUSKEGEE INSTITUTE NHS,AL,57.92
Intermountain,TUZI,TUZIGOOT NM,AZ,811.89
Midwest,ULSG,ULYSSES S GRANT NHS,MO,9.60
Northeast,UPDE,UPPER DEL SCENIC & R RVR,NY,"74,999.56"
Northeast,UPDE,UPPER DEL SCENIC & R RVR,PA,"74,999.56"
Intermountain,VALL,VALLES CALDERA N PRES,NM,"89,766.09"
Northeast,VAFO,VALLEY FORGE NHP,PA,"3,467.70"
Northeast,VAMA,VANDERBILT MANSION NHS,NY,211.65
Southeast,VICK,VICKSBURG NMP,MS,"1,802.18"
Southeast,VICK,VICKSBURG NMP,LA,"1,802.18"
National Capital,VIVE,VIETNAM VETERANS MEM,DC,2.18
Southeast,,VIRGIN ISLANDS CORAL REEF,VI,"12,708.07"
Southeast,VIIS,VIRGIN ISLANDS NP,VI,"14,948.46"
Midwest,VOYA,VOYAGEURS NP,MN,"218,200.15"
Intermountain,WACO,WACO MAMMOTH NM,TX,107.23
Intermountain,WACA,WALNUT CANYON NM,AZ,"3,529.26"
Pacific West,WAPA,WAR IN THE PACIFIC NHP,GUAM,"2,030.65"
National Capital,WAMO,WASHINGTON MONUMENT,DC,106.01
Intermountain,WABA,WASHITA BATTLEFIELD NHS,OK,315.20
Northeast,WEFA,WEIR FARM NHS,CT,74.20
Pacific West,WHIS,WHISKEYTOWN-S-T NRA,CA,"42,503.25"
National Capital,WHHO,WHITE HOUSE,DC,18.07
Intermountain,WHSA,WHITE SANDS NM,NM,"143,733.25"
Pacific West,WHMI,WHITMAN MISSION NHS,WA,138.53
Midwest,WIHO,WILLIAM H TAFT NHS,OH,3.64
Midwest,WICR,WILSONS CREEK NB,MO,"2,368.10"
Midwest,WICA,WIND CAVE NP,SD,"33,970.84"
National Capital,WOTR,WOLF TRAP NP FOR PERF ARTS,VA,130.28
Northeast,WORI,WOMEN'S RIGHTS NHP,NY,7.44
National Capital,,WORLD WAR I NMEM,DC,1.39
Alaska,,WRANGELL-ST ELIAS N PRES,AK,"4,852,644.52"
Alaska,WRST,WRANGELL-ST ELIAS NP,AK,"8,323,146.48"
Southeast,WRBR,WRIGHT BROTHERS NMEM,NC,428.44
Intermountain,WUPA,WUPATKI NM,AZ,"35,422.13"
Pacific West,,WWII VALOR IN THE PACIFIC NM,HI,59.03
Pacific West,,WWII VALOR IN THE PACIFIC NM,CA,59.03
Intermountain,YELL,YELLOWSTONE NP,ID,"2,219,790.71"
Intermountain,YELL,YELLOWSTONE NP,MT,"2,219,790.71"
Intermountain,YELL,YELLOWSTONE NP,WY,"2,219,790.71"
Pacific West,YOSE,YOSEMITE NP,CA,"761,747.50"
Intermountain,,YUCCA HOUSE NM,CO,33.87
